slang_word
cool
lit
dope
fire
savage
af
cap
cheugy
cring
dead
dopeextra
fit
goat
go off
gucci
hits different
irl
iykyk
lit
low-key
hear me out
omg
ong
preppy
rizz
salty
sick
sleep on
snatched
tbh
tea
vanilla
thirsty
yeet
yassify
delulu
skibidi
sigma
drip
bussin
gyat
mewing
cap
fanum tax
bet
sus
basic
it's giving
bop
cringe
fire
big yikes
glow-up
ohio
yeet
period
periodt
ick
lit
mid
big w
big l
asf
asl
aura
based
bde
bffr
boujee
bop
brainrot
bussin
caught in 4k
clapback
cook
dab
delusionship
dogs
drip
era
finna
gagged
ghost
glaze
ipad kid
i oop
karen
main character
mogging
npc
ok boomer
out of pocket
waste of space
